Year	DOY	Hour	Min	 Dectime	     z_1	     z_2	     z_3	     z_4	     z_5	     z_6	     z_7	     z_8	     z_9	    z_10	    z_11	    z_12	    z_13	    z_14	    z_15	    z_16	    z_17	    z_18	    z_19	    z_20	    z_21	    z_22	    z_23	    z_24	    z_25	    z_26	    z_27	    z_28	    z_29	    z_30	     U_1	     U_2	     U_3	     U_4	     U_5	     U_6	     U_7	     U_8	     U_9	    U_10	    U_11	    U_12	    U_13	    U_14	    U_15	    U_16	    U_17	    U_18	    U_19	    U_20	    U_21	    U_22	    U_23	    U_24	    U_25	    U_26	    U_27	    U_28	    U_29	    U_30	     T_1	     T_2	     T_3	     T_4	     T_5	     T_6	     T_7	     T_8	     T_9	    T_10	    T_11	    T_12	    T_13	    T_14	    T_15	    T_16	    T_17	    T_18	    T_19	    T_20	    T_21	    T_22	    T_23	    T_24	    T_25	    T_26	    T_27	    T_28	    T_29	    T_30	     q_1	     q_2	     q_3	     q_4	     q_5	     q_6	     q_7	     q_8	     q_9	    q_10	    q_11	    q_12	    q_13	    q_14	    q_15	    q_16	    q_17	    q_18	    q_19	    q_20	    q_21	    q_22	    q_23	    q_24	    q_25	    q_26	    q_27	    q_28	    q_29	    q_30	L_MOD_RSL	  zH_RSL	      Lc	    beta	  zd_RSL	  z0_RSL	     elm	     Scc	       f	UStar_RSL	UStar_heat	TStar_RSL	     FAI	     PAI	flag_RSL
2018	179	   0	  0	178.0000	  0.1552	  0.1843	  0.2133	  0.2715	  0.3879	  0.6207	  1.0861	  2.0171	  3.8791	  7.7581	 11.6372	 13.5767	 14.5465	 15.0314	 15.2738	 15.3950	 15.4557	 15.4860	 15.5011	 15.5087	 16.7431	 17.2689	 18.0201	 19.0931	 20.6261	 22.8160	 25.9444	 30.4136	 36.7982	 45.9190	  0.0610	  0.0612	  0.0614	  0.0617	  0.0623	  0.0635	  0.0661	  0.0717	  0.0842	  0.1176	  0.1643	  0.1942	  0.2112	  0.2202	  0.2248	  0.2272	  0.2284	  0.2290	  0.2293	  0.2296	  0.3535	  0.3665	  0.3833	  0.4045	  0.4307	  0.4619	  0.4984	  0.5400	  0.5862	  0.6418	 19.3518	 19.3515	 19.3513	 19.3508	 19.3498	 19.3477	 19.3436	 19.3354	 19.3191	 19.2847	 19.2502	 19.2328	 19.2241	 19.2198	 19.2176	 19.2165	 19.2159	 19.2157	 19.2155	 19.2154	 19.0561	 19.0486	 19.0389	 19.0268	 19.0121	 18.9948	 18.9751	 18.9533	 18.9301	 18.9000	 12.0353	 12.0353	 12.0353	 12.0353	 12.0353	 12.0353	 12.0353	 12.0353	 12.0353	 12.0353	 12.0353	 12.0353	 12.0353	 12.0353	 12.0353	 12.0353	 12.0353	 12.0353	 12.0353	 12.0353	 12.0353	 12.0353	 12.0353	 12.0353	 12.0353	 12.0353	 12.0353	 12.0354	 12.0354	 12.0354	 -11.5958	 15.5163	 23.1916	  0.5000	 10.8652	  1.8562	  5.7979	  0.2002	  0.0196	   0.1500	    0.1500	  -0.2605	  0.4310	  0.3558	  1.0000
2018	179	   1	  0	178.0417	  0.1552	  0.1843	  0.2133	  0.2715	  0.3879	  0.6207	  1.0861	  2.0171	  3.8791	  7.7581	 11.6372	 13.5767	 14.5465	 15.0314	 15.2738	 15.3950	 15.4557	 15.4860	 15.5011	 15.5087	 16.7431	 17.2689	 18.0201	 19.0931	 20.6261	 22.8160	 25.9444	 30.4136	 36.7982	 45.9190	  0.0610	  0.0612	  0.0614	  0.0617	  0.0623	  0.0635	  0.0661	  0.0717	  0.0842	  0.1176	  0.1643	  0.1942	  0.2112	  0.2202	  0.2248	  0.2272	  0.2284	  0.2290	  0.2293	  0.2296	  0.3535	  0.3665	  0.3833	  0.4045	  0.4307	  0.4619	  0.4984	  0.5400	  0.5862	  0.6418	 19.0636	 19.0634	 19.0632	 19.0627	 19.0617	 19.0597	 19.0558	 19.0479	 19.0322	 18.9991	 18.9659	 18.9492	 18.9409	 18.9367	 18.9346	 18.9335	 18.9330	 18.9327	 18.9326	 18.9325	 18.7756	 18.7688	 18.7600	 18.7488	 18.7352	 18.7191	 18.7006	 18.6801	 18.6581	 18.6292	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 -11.5958	 15.5163	 23.1916	  0.5000	 10.8652	  1.8562	  5.7979	  0.2002	  0.0196	   0.1500	    0.1500	  -0.2505	  0.4310	  0.3558	  1.0000
2018	179	   2	  0	178.0833	  0.1552	  0.1843	  0.2133	  0.2715	  0.3879	  0.6207	  1.0861	  2.0171	  3.8791	  7.7581	 11.6372	 13.5767	 14.5465	 15.0314	 15.2738	 15.3950	 15.4557	 15.4860	 15.5011	 15.5087	 16.7431	 17.2689	 18.0201	 19.0931	 20.6261	 22.8160	 25.9444	 30.4136	 36.7982	 45.9190	  0.0610	  0.0612	  0.0614	  0.0617	  0.0623	  0.0635	  0.0661	  0.0717	  0.0842	  0.1176	  0.1643	  0.1942	  0.2112	  0.2202	  0.2248	  0.2272	  0.2284	  0.2290	  0.2293	  0.2296	  0.3535	  0.3665	  0.3833	  0.4045	  0.4307	  0.4619	  0.4984	  0.5400	  0.5862	  0.6418	 18.3336	 18.3333	 18.3331	 18.3326	 18.3317	 18.3298	 18.3260	 18.3183	 18.3031	 18.2711	 18.2389	 18.2227	 18.2146	 18.2105	 18.2085	 18.2075	 18.2070	 18.2067	 18.2066	 18.2065	 18.0546	 18.0480	 18.0394	 18.0286	 18.0154	 17.9997	 17.9818	 17.9619	 17.9405	 17.9125	 11.2664	 11.2664	 11.2664	 11.2664	 11.2664	 11.2664	 11.2664	 11.2664	 11.2663	 11.2662	 11.2661	 11.2661	 11.2661	 11.2661	 11.2661	 11.2660	 11.2660	 11.2660	 11.2660	 11.2660	 11.2656	 11.2656	 11.2655	 11.2655	 11.2655	 11.2654	 11.2654	 11.2653	 11.2653	 11.2652	 -11.5958	 15.5163	 23.1916	  0.5000	 10.8652	  1.8562	  5.7979	  0.2002	  0.0196	   0.1500	    0.1500	  -0.2428	  0.4310	  0.3558	  1.0000
2018	179	   3	  0	178.1250	  0.1552	  0.1843	  0.2133	  0.2715	  0.3879	  0.6207	  1.0861	  2.0171	  3.8791	  7.7581	 11.6372	 13.5767	 14.5465	 15.0314	 15.2738	 15.3950	 15.4557	 15.4860	 15.5011	 15.5087	 16.7431	 17.2689	 18.0201	 19.0931	 20.6261	 22.8160	 25.9444	 30.4136	 36.7982	 45.9190	  0.0610	  0.0612	  0.0614	  0.0617	  0.0623	  0.0635	  0.0661	  0.0717	  0.0842	  0.1176	  0.1643	  0.1942	  0.2112	  0.2202	  0.2248	  0.2272	  0.2284	  0.2290	  0.2293	  0.2296	  0.3535	  0.3665	  0.3833	  0.4045	  0.4307	  0.4619	  0.4984	  0.5400	  0.5862	  0.6418	 17.8656	 17.8654	 17.8652	 17.8647	 17.8637	 17.8618	 17.8580	 17.8504	 17.8352	 17.8033	 17.7712	 17.7551	 17.7470	 17.7430	 17.7409	 17.7399	 17.7394	 17.7392	 17.7390	 17.7389	 17.5836	 17.5774	 17.5693	 17.5590	 17.5464	 17.5314	 17.5141	 17.4947	 17.4738	 17.4458	 11.3832	 11.3832	 11.3832	 11.3831	 11.3831	 11.3831	 11.3830	 11.3828	 11.3824	 11.3817	 11.3809	 11.3805	 11.3804	 11.3803	 11.3802	 11.3802	 11.3802	 11.3802	 11.3802	 11.3802	 11.3765	 11.3764	 11.3762	 11.3759	 11.3756	 11.3752	 11.3748	 11.3744	 11.3739	 11.3732	 -11.5958	 15.5163	 23.1916	  0.5000	 10.8652	  1.8562	  5.7979	  0.2002	  0.0196	   0.1500	    0.1500	  -0.2421	  0.4310	  0.3558	  1.0000
2018	179	   4	  0	178.1667	  0.1552	  0.1843	  0.2133	  0.2715	  0.3879	  0.6207	  1.0861	  2.0171	  3.8791	  7.7581	 11.6372	 13.5767	 14.5465	 15.0314	 15.2738	 15.3950	 15.4557	 15.4860	 15.5011	 15.5087	 16.7431	 17.2689	 18.0201	 19.0931	 20.6261	 22.8160	 25.9444	 30.4136	 36.7982	 45.9190	  0.0632	  0.0634	  0.0635	  0.0639	  0.0645	  0.0658	  0.0685	  0.0742	  0.0872	  0.1218	  0.1702	  0.2012	  0.2187	  0.2280	  0.2329	  0.2353	  0.2365	  0.2372	  0.2375	  0.2378	  0.3661	  0.3796	  0.3970	  0.4190	  0.4460	  0.4784	  0.5162	  0.5592	  0.6071	  0.6647	 18.5476	 18.5472	 18.5469	 18.5462	 18.5448	 18.5421	 18.5366	 18.5257	 18.5037	 18.4576	 18.4113	 18.3880	 18.3763	 18.3705	 18.3676	 18.3661	 18.3654	 18.3650	 18.3648	 18.3647	 18.1725	 18.1604	 18.1448	 18.1257	 18.1027	 18.0763	 18.0468	 18.0151	 17.9820	 17.9417	 11.7377	 11.7376	 11.7376	 11.7376	 11.7375	 11.7373	 11.7369	 11.7362	 11.7347	 11.7316	 11.7284	 11.7268	 11.7260	 11.7256	 11.7254	 11.7253	 11.7253	 11.7253	 11.7252	 11.7252	 11.7122	 11.7114	 11.7103	 11.7090	 11.7075	 11.7057	 11.7036	 11.7015	 11.6992	 11.6965	 -11.5958	 15.5163	 23.1916	  0.5000	 10.8652	  1.8562	  5.7979	  0.2002	  0.0196	   0.1553	    0.1553	  -0.3494	  0.4310	  0.3558	  1.0000
2018	179	   5	  0	178.2083	  0.1552	  0.1843	  0.2133	  0.2715	  0.3879	  0.6207	  1.0861	  2.0171	  3.8791	  7.7581	 11.6372	 13.5767	 14.5465	 15.0314	 15.2738	 15.3950	 15.4557	 15.4860	 15.5011	 15.5087	 16.7431	 17.2689	 18.0201	 19.0931	 20.6261	 22.8160	 25.9444	 30.4136	 36.7982	 45.9190	  0.0620	  0.0621	  0.0623	  0.0626	  0.0632	  0.0645	  0.0671	  0.0728	  0.0854	  0.1194	  0.1668	  0.1972	  0.2144	  0.2235	  0.2282	  0.2306	  0.2319	  0.2325	  0.2328	  0.2331	  0.3589	  0.3720	  0.3891	  0.4107	  0.4372	  0.4689	  0.5059	  0.5481	  0.5950	  0.6515	 20.5104	 20.5098	 20.5092	 20.5081	 20.5057	 20.5011	 20.4918	 20.4732	 20.4360	 20.3579	 20.2794	 20.2399	 20.2201	 20.2102	 20.2053	 20.2028	 20.2016	 20.2009	 20.2006	 20.2003	 19.9183	 19.8933	 19.8618	 19.8233	 19.7779	 19.7266	 19.6706	 19.6117	 19.5517	 19.4833	 12.2023	 12.2022	 12.2022	 12.2021	 12.2019	 12.2014	 12.2005	 12.1987	 12.1952	 12.1877	 12.1801	 12.1763	 12.1744	 12.1735	 12.1730	 12.1728	 12.1727	 12.1726	 12.1726	 12.1725	 12.1455	 12.1431	 12.1401	 12.1364	 12.1320	 12.1271	 12.1217	 12.1160	 12.1103	 12.1037	 -11.5958	 15.5163	 23.1916	  0.5000	 10.8652	  1.8562	  5.7979	  0.2002	  0.0196	   0.1523	    0.1523	  -0.5922	  0.4310	  0.3558	  1.0000
2018	179	   6	  0	178.2500	  0.1552	  0.1843	  0.2133	  0.2715	  0.3879	  0.6207	  1.0861	  2.0171	  3.8791	  7.7581	 11.6372	 13.5767	 14.5465	 15.0314	 15.2738	 15.3950	 15.4557	 15.4860	 15.5011	 15.5087	 16.7431	 17.2689	 18.0201	 19.0931	 20.6261	 22.8160	 25.9444	 30.4136	 36.7982	 45.9190	  0.0795	  0.0797	  0.0799	  0.0803	  0.0811	  0.0828	  0.0862	  0.0934	  0.1097	  0.1532	  0.2141	  0.2531	  0.2751	  0.2869	  0.2929	  0.2960	  0.2976	  0.2984	  0.2987	  0.2991	  0.4606	  0.4775	  0.4994	  0.5271	  0.5611	  0.6018	  0.6494	  0.7035	  0.7637	  0.8362	 22.8797	 22.8790	 22.8784	 22.8770	 22.8742	 22.8686	 22.8574	 22.8351	 22.7903	 22.6966	 22.6022	 22.5548	 22.5310	 22.5191	 22.5132	 22.5102	 22.5087	 22.5080	 22.5076	 22.5072	 22.1815	 22.1502	 22.1107	 22.0626	 22.0062	 21.9425	 21.8735	 21.8012	 21.7280	 21.6458	 11.4934	 11.4934	 11.4933	 11.4932	 11.4930	 11.4926	 11.4918	 11.4901	 11.4868	 11.4798	 11.4728	 11.4693	 11.4675	 11.4666	 11.4662	 11.4660	 11.4659	 11.4658	 11.4658	 11.4658	 11.4418	 11.4394	 11.4365	 11.4329	 11.4286	 11.4239	 11.4187	 11.4133	 11.4079	 11.4018	 -11.5958	 15.5163	 23.1916	  0.5000	 10.8652	  1.8562	  5.7979	  0.2002	  0.0196	   0.1954	    0.1954	  -0.7115	  0.4310	  0.3558	  1.0000
2018	179	   7	  0	178.2917	  0.1552	  0.1843	  0.2133	  0.2715	  0.3879	  0.6207	  1.0861	  2.0171	  3.8791	  7.7581	 11.6372	 13.5767	 14.5465	 15.0314	 15.2738	 15.3950	 15.4557	 15.4860	 15.5011	 15.5087	 16.7431	 17.2689	 18.0201	 19.0931	 20.6261	 22.8160	 25.9444	 30.4136	 36.7982	 45.9190	  0.1649	  0.1653	  0.1657	  0.1665	  0.1682	  0.1716	  0.1787	  0.1936	  0.2273	  0.3176	  0.4438	  0.5246	  0.5703	  0.5947	  0.6073	  0.6136	  0.6169	  0.6185	  0.6193	  0.6201	  0.9548	  0.9898	  1.0352	  1.0926	  1.1631	  1.2475	  1.3461	  1.4584	  1.5832	  1.7333	 24.0240	 24.0235	 24.0231	 24.0222	 24.0204	 24.0169	 24.0098	 23.9957	 23.9673	 23.9078	 23.8480	 23.8180	 23.8029	 23.7953	 23.7916	 23.7897	 23.7887	 23.7883	 23.7880	 23.7878	 23.4954	 23.4841	 23.4694	 23.4507	 23.4276	 23.4001	 23.3682	 23.3325	 23.2938	 23.2417	 10.8788	 10.8788	 10.8788	 10.8787	 10.8786	 10.8784	 10.8781	 10.8773	 10.8758	 10.8726	 10.8694	 10.8678	 10.8670	 10.8666	 10.8664	 10.8663	 10.8663	 10.8663	 10.8663	 10.8662	 10.8507	 10.8501	 10.8493	 10.8483	 10.8471	 10.8456	 10.8439	 10.8420	 10.8399	 10.8372	 -11.5958	 15.5163	 23.1916	  0.5000	 10.8652	  1.8562	  5.7979	  0.2002	  0.0196	   0.4051	    0.4051	  -0.4511	  0.4310	  0.3558	  1.0000
2018	179	   8	  0	178.3333	  0.1552	  0.1843	  0.2133	  0.2715	  0.3879	  0.6207	  1.0861	  2.0171	  3.8791	  7.7581	 11.6372	 13.5767	 14.5465	 15.0314	 15.2738	 15.3950	 15.4557	 15.4860	 15.5011	 15.5087	 16.7431	 17.2689	 18.0201	 19.0931	 20.6261	 22.8160	 25.9444	 30.4136	 36.7982	 45.9190	  0.2323	  0.2328	  0.2334	  0.2346	  0.2370	  0.2418	  0.2517	  0.2727	  0.3202	  0.4474	  0.6252	  0.7390	  0.8035	  0.8378	  0.8555	  0.8645	  0.8690	  0.8713	  0.8724	  0.8736	  1.4610	  1.5127	  1.5798	  1.6649	  1.7700	  1.8961	  2.0448	  2.2151	  2.4057	  2.6417	 24.8091	 24.8087	 24.8083	 24.8076	 24.8061	 24.8031	 24.7971	 24.7851	 24.7611	 24.7108	 24.6602	 24.6348	 24.6221	 24.6157	 24.6125	 24.6109	 24.6101	 24.6097	 24.6095	 24.6093	 24.2774	 24.2712	 24.2628	 24.2513	 24.2363	 24.2169	 24.1927	 24.1636	 24.1302	 24.0792	 11.4394	 11.4394	 11.4394	 11.4393	 11.4392	 11.4391	 11.4388	 11.4382	 11.4370	 11.4346	 11.4321	 11.4308	 11.4302	 11.4299	 11.4297	 11.4297	 11.4296	 11.4296	 11.4296	 11.4296	 11.4133	 11.4130	 11.4126	 11.4121	 11.4113	 11.4104	 11.4092	 11.4078	 11.4061	 11.4036	 -16.4036	 15.5163	 23.1916	  0.5000	 10.8652	  2.0500	  5.7979	  0.2028	  0.0199	   0.6147	    0.6147	  -0.3769	  0.4310	  0.3558	  1.0000
2018	179	   9	  0	178.3750	  0.1552	  0.1843	  0.2133	  0.2715	  0.3879	  0.6207	  1.0861	  2.0171	  3.8791	  7.7581	 11.6372	 13.5767	 14.5465	 15.0314	 15.2738	 15.3950	 15.4557	 15.4860	 15.5011	 15.5087	 16.7431	 17.2689	 18.0201	 19.0931	 20.6261	 22.8160	 25.9444	 30.4136	 36.7982	 45.9190	  0.2522	  0.2528	  0.2535	  0.2547	  0.2573	  0.2625	  0.2733	  0.2961	  0.3477	  0.4858	  0.6788	  0.8024	  0.8724	  0.9097	  0.9289	  0.9387	  0.9436	  0.9461	  0.9473	  0.9485	  1.6264	  1.6833	  1.7574	  1.8512	  1.9672	  2.1068	  2.2716	  2.4607	  2.6729	  2.9375	 25.6415	 25.6411	 25.6407	 25.6399	 25.6383	 25.6351	 25.6287	 25.6159	 25.5902	 25.5364	 25.4823	 25.4550	 25.4414	 25.4346	 25.4312	 25.4295	 25.4286	 25.4282	 25.4280	 25.4278	 25.0533	 25.0466	 25.0375	 25.0251	 25.0085	 24.9872	 24.9604	 24.9281	 24.8908	 24.8333	 11.1295	 11.1295	 11.1294	 11.1294	 11.1293	 11.1292	 11.1289	 11.1283	 11.1271	 11.1247	 11.1222	 11.1209	 11.1203	 11.1200	 11.1198	 11.1198	 11.1197	 11.1197	 11.1197	 11.1197	 11.1025	 11.1022	 11.1018	 11.1012	 11.1005	 11.0995	 11.0982	 11.0968	 11.0951	 11.0924	 -18.1988	 15.5163	 23.1916	  0.5000	 10.8652	  2.1201	  5.7979	  0.2039	  0.0200	   0.6826	    0.6826	  -0.4011	  0.4310	  0.3558	  1.0000
2018	179	  10	  0	178.4167	  0.1552	  0.1843	  0.2133	  0.2715	  0.3879	  0.6207	  1.0861	  2.0171	  3.8791	  7.7581	 11.6372	 13.5767	 14.5465	 15.0314	 15.2738	 15.3950	 15.4557	 15.4860	 15.5011	 15.5087	 16.7431	 17.2689	 18.0201	 19.0931	 20.6261	 22.8160	 25.9444	 30.4136	 36.7982	 45.9190	  0.2752	  0.2759	  0.2766	  0.2780	  0.2808	  0.2865	  0.2982	  0.3231	  0.3794	  0.5301	  0.7408	  0.8756	  0.9520	  0.9927	  1.0136	  1.0243	  1.0296	  1.0323	  1.0337	  1.0350	  1.9117	  1.9771	  2.0622	  2.1705	  2.3046	  2.4667	  2.6590	  2.8809	  3.1312	  3.4500	 26.4852	 26.4848	 26.4844	 26.4836	 26.4820	 26.4788	 26.4724	 26.4596	 26.4339	 26.3800	 26.3258	 26.2985	 26.2848	 26.2780	 26.2746	 26.2729	 26.2720	 26.2716	 26.2714	 26.2712	 25.8670	 25.8602	 25.8509	 25.8381	 25.8210	 25.7985	 25.7702	 25.7357	 25.6956	 25.6333	  9.6108	  9.6108	  9.6107	  9.6107	  9.6106	  9.6105	  9.6102	  9.6096	  9.6085	  9.6061	  9.6037	  9.6025	  9.6019	  9.6016	  9.6014	  9.6013	  9.6013	  9.6013	  9.6013	  9.6013	  9.5833	  9.5830	  9.5826	  9.5820	  9.5812	  9.5802	  9.5790	  9.5775	  9.5757	  9.5729	 -24.0020	 15.5163	 23.1916	  0.5000	 10.8652	  2.2815	  5.7979	  0.2138	  0.0209	   0.7965	    0.7965	  -0.3843	  0.4310	  0.3558	  1.0000
2018	179	  11	  0	178.4583	  0.1552	  0.1843	  0.2133	  0.2715	  0.3879	  0.6207	  1.0861	  2.0171	  3.8791	  7.7581	 11.6372	 13.5767	 14.5465	 15.0314	 15.2738	 15.3950	 15.4557	 15.4860	 15.5011	 15.5087	 16.7431	 17.2689	 18.0201	 19.0931	 20.6261	 22.8160	 25.9444	 30.4136	 36.7982	 45.9190	  0.3074	  0.3082	  0.3089	  0.3105	  0.3136	  0.3200	  0.3331	  0.3609	  0.4238	  0.5921	  0.8274	  0.9780	  1.0633	  1.1087	  1.1322	  1.1441	  1.1501	  1.1531	  1.1546	  1.1561	  2.5383	  2.6220	  2.7313	  2.8711	  3.0454	  3.2577	  3.5123	  3.8092	  4.1475	  4.5958	 27.0305	 27.0301	 27.0297	 27.0289	 27.0274	 27.0242	 27.0180	 27.0054	 26.9802	 26.9274	 26.8741	 26.8473	 26.8339	 26.8271	 26.8237	 26.8221	 26.8212	 26.8208	 26.8206	 26.8204	 26.4065	 26.3998	 26.3904	 26.3774	 26.3598	 26.3367	 26.3072	 26.2710	 26.2287	 26.1625	  8.3253	  8.3253	  8.3253	  8.3252	  8.3252	  8.3250	  8.3247	  8.3242	  8.3231	  8.3207	  8.3183	  8.3171	  8.3165	  8.3162	  8.3161	  8.3160	  8.3160	  8.3159	  8.3159	  8.3159	  8.2974	  8.2971	  8.2967	  8.2961	  8.2954	  8.2943	  8.2930	  8.2914	  8.2895	  8.2866	 -42.8032	 15.5163	 23.1916	  0.5000	 10.8652	  2.6483	  5.7979	  0.2613	  0.0255	   1.0410	    1.0410	  -0.3097	  0.4310	  0.3558	  1.0000
2018	179	  12	  0	178.5000	  0.1552	  0.1843	  0.2133	  0.2715	  0.3879	  0.6207	  1.0861	  2.0171	  3.8791	  7.7581	 11.6372	 13.5767	 14.5465	 15.0314	 15.2738	 15.3950	 15.4557	 15.4860	 15.5011	 15.5087	 16.7431	 17.2689	 18.0201	 19.0931	 20.6261	 22.8160	 25.9444	 30.4136	 36.7982	 45.9190	  0.3065	  0.3073	  0.3080	  0.3096	  0.3127	  0.3191	  0.3321	  0.3599	  0.4226	  0.5904	  0.8250	  0.9752	  1.0603	  1.1056	  1.1289	  1.1408	  1.1468	  1.1498	  1.1513	  1.1528	  2.4893	  2.5715	  2.6790	  2.8163	  2.9875	  3.1957	  3.4452	  3.7360	  4.0670	  4.5042	 27.0128	 27.0124	 27.0120	 27.0112	 27.0096	 27.0065	 27.0001	 26.9875	 26.9621	 26.9089	 26.8552	 26.8283	 26.8147	 26.8079	 26.8045	 26.8028	 26.8020	 26.8016	 26.8014	 26.8011	 26.3829	 26.3761	 26.3666	 26.3536	 26.3359	 26.3127	 26.2830	 26.2466	 26.2041	 26.1375	  7.4859	  7.4859	  7.4859	  7.4859	  7.4858	  7.4856	  7.4854	  7.4848	  7.4836	  7.4812	  7.4787	  7.4775	  7.4769	  7.4766	  7.4764	  7.4764	  7.4763	  7.4763	  7.4763	  7.4763	  7.4572	  7.4569	  7.4565	  7.4559	  7.4551	  7.4540	  7.4526	  7.4510	  7.4491	  7.4460	 -40.6434	 15.5163	 23.1916	  0.5000	 10.8652	  2.6155	  5.7979	  0.2554	  0.0249	   1.0223	    1.0223	  -0.3192	  0.4310	  0.3558	  1.0000
2018	179	  13	  0	178.5417	  0.1552	  0.1843	  0.2133	  0.2715	  0.3879	  0.6207	  1.0861	  2.0171	  3.8791	  7.7581	 11.6372	 13.5767	 14.5465	 15.0314	 15.2738	 15.3950	 15.4557	 15.4860	 15.5011	 15.5087	 16.7431	 17.2689	 18.0201	 19.0931	 20.6261	 22.8160	 25.9444	 30.4136	 36.7982	 45.9190	  0.3066	  0.3074	  0.3081	  0.3097	  0.3128	  0.3191	  0.3322	  0.3600	  0.4227	  0.5906	  0.8253	  0.9755	  1.0606	  1.1059	  1.1293	  1.1411	  1.1471	  1.1501	  1.1516	  1.1531	  2.5946	  2.6799	  2.7914	  2.9341	  3.1122	  3.3293	  3.5900	  3.8945	  4.2418	  4.7042	 27.0210	 27.0206	 27.0202	 27.0195	 27.0179	 27.0148	 27.0086	 26.9961	 26.9711	 26.9187	 26.8658	 26.8392	 26.8258	 26.8192	 26.8158	 26.8141	 26.8133	 26.8129	 26.8127	 26.8125	 26.4048	 26.3981	 26.3888	 26.3759	 26.3585	 26.3355	 26.3062	 26.2703	 26.2283	 26.1625	  6.7772	  6.7772	  6.7772	  6.7771	  6.7771	  6.7769	  6.7766	  6.7760	  6.7748	  6.7724	  6.7699	  6.7686	  6.7680	  6.7677	  6.7675	  6.7674	  6.7674	  6.7674	  6.7674	  6.7674	  6.7481	  6.7478	  6.7473	  6.7467	  6.7459	  6.7448	  6.7434	  6.7417	  6.7398	  6.7367	 -46.3971	 15.5163	 23.1916	  0.5000	 10.8652	  2.6920	  5.7979	  0.2705	  0.0263	   1.0618	    1.0618	  -0.2984	  0.4310	  0.3558	  1.0000
2018	179	  14	  0	178.5833	  0.1552	  0.1843	  0.2133	  0.2715	  0.3879	  0.6207	  1.0861	  2.0171	  3.8791	  7.7581	 11.6372	 13.5767	 14.5465	 15.0314	 15.2738	 15.3950	 15.4557	 15.4860	 15.5011	 15.5087	 16.7431	 17.2689	 18.0201	 19.0931	 20.6261	 22.8160	 25.9444	 30.4136	 36.7982	 45.9190	  0.3054	  0.3061	  0.3069	  0.3084	  0.3115	  0.3179	  0.3309	  0.3585	  0.4210	  0.5882	  0.8219	  0.9716	  1.0563	  1.1014	  1.1247	  1.1365	  1.1425	  1.1455	  1.1470	  1.1485	  2.7650	  2.8551	  2.9732	  3.1246	  3.3140	  3.5455	  3.8244	  4.1512	  4.5252	  5.0292	 27.0674	 27.0671	 27.0667	 27.0659	 27.0644	 27.0614	 27.0554	 27.0434	 27.0193	 26.9687	 26.9176	 26.8918	 26.8789	 26.8724	 26.8692	 26.8676	 26.8668	 26.8663	 26.8661	 26.8659	 26.4806	 26.4741	 26.4650	 26.4525	 26.4356	 26.4134	 26.3850	 26.3502	 26.3095	 26.2458	  7.4360	  7.4360	  7.4360	  7.4359	  7.4359	  7.4357	  7.4354	  7.4349	  7.4337	  7.4313	  7.4289	  7.4277	  7.4271	  7.4267	  7.4266	  7.4265	  7.4265	  7.4265	  7.4264	  7.4264	  7.4081	  7.4078	  7.4074	  7.4068	  7.4060	  7.4049	  7.4036	  7.4019	  7.4000	  7.3970	 -56.5076	 15.5163	 23.1916	  0.5000	 10.8652	  2.8239	  5.7979	  0.2972	  0.0289	   1.1253	    1.1253	  -0.2608	  0.4310	  0.3558	  1.0000
2018	179	  15	  0	178.6250	  0.1552	  0.1843	  0.2133	  0.2715	  0.3879	  0.6207	  1.0861	  2.0171	  3.8791	  7.7581	 11.6372	 13.5767	 14.5465	 15.0314	 15.2738	 15.3950	 15.4557	 15.4860	 15.5011	 15.5087	 16.7431	 17.2689	 18.0201	 19.0931	 20.6261	 22.8160	 25.9444	 30.4136	 36.7982	 45.9190	  0.2824	  0.2831	  0.2838	  0.2852	  0.2881	  0.2939	  0.3060	  0.3315	  0.3893	  0.5439	  0.7600	  0.8984	  0.9768	  1.0185	  1.0400	  1.0509	  1.0564	  1.0592	  1.0606	  1.0620	  2.3514	  2.4287	  2.5299	  2.6592	  2.8206	  3.0172	  3.2531	  3.5283	  3.8419	  4.2583	 26.8179	 26.8176	 26.8173	 26.8166	 26.8153	 26.8127	 26.8075	 26.7969	 26.7759	 26.7316	 26.6870	 26.6646	 26.6533	 26.6477	 26.6449	 26.6434	 26.6427	 26.6424	 26.6422	 26.6420	 26.2961	 26.2905	 26.2826	 26.2718	 26.2570	 26.2377	 26.2129	 26.1826	 26.1472	 26.0917	  8.1384	  8.1384	  8.1383	  8.1383	  8.1382	  8.1381	  8.1378	  8.1373	  8.1363	  8.1341	  8.1318	  8.1307	  8.1302	  8.1299	  8.1297	  8.1297	  8.1296	  8.1296	  8.1296	  8.1296	  8.1124	  8.1121	  8.1117	  8.1112	  8.1104	  8.1095	  8.1082	  8.1067	  8.1050	  8.1022	 -43.8352	 15.5163	 23.1916	  0.5000	 10.8652	  2.6659	  5.7979	  0.2643	  0.0258	   0.9636	    0.9636	  -0.2557	  0.4310	  0.3558	  1.0000
