Year	DOY	Hour	Min	 Dectime	     z_1	     z_2	     z_3	     z_4	     z_5	     z_6	     z_7	     z_8	     z_9	    z_10	    z_11	    z_12	    z_13	    z_14	    z_15	    z_16	    z_17	    z_18	    z_19	    z_20	    z_21	    z_22	    z_23	    z_24	    z_25	    z_26	    z_27	    z_28	    z_29	    z_30	     U_1	     U_2	     U_3	     U_4	     U_5	     U_6	     U_7	     U_8	     U_9	    U_10	    U_11	    U_12	    U_13	    U_14	    U_15	    U_16	    U_17	    U_18	    U_19	    U_20	    U_21	    U_22	    U_23	    U_24	    U_25	    U_26	    U_27	    U_28	    U_29	    U_30	     T_1	     T_2	     T_3	     T_4	     T_5	     T_6	     T_7	     T_8	     T_9	    T_10	    T_11	    T_12	    T_13	    T_14	    T_15	    T_16	    T_17	    T_18	    T_19	    T_20	    T_21	    T_22	    T_23	    T_24	    T_25	    T_26	    T_27	    T_28	    T_29	    T_30	     q_1	     q_2	     q_3	     q_4	     q_5	     q_6	     q_7	     q_8	     q_9	    q_10	    q_11	    q_12	    q_13	    q_14	    q_15	    q_16	    q_17	    q_18	    q_19	    q_20	    q_21	    q_22	    q_23	    q_24	    q_25	    q_26	    q_27	    q_28	    q_29	    q_30	L_MOD_RSL	  zH_RSL	      Lc	    beta	  zd_RSL	  z0_RSL	     elm	     Scc	       f	UStar_RSL	UStar_heat	TStar_RSL	     FAI	     PAI	flag_RSL
2018	179	   0	  0	178.0000	  0.0806	  0.0958	  0.1109	  0.1411	  0.2016	  0.3225	  0.5645	  1.0483	  2.0159	  4.0318	  6.0477	  7.0557	  7.5596	  7.8116	  7.9376	  8.0006	  8.0321	  8.0479	  8.0557	  8.0597	  8.7086	  8.9850	  9.3799	  9.9440	 10.7499	 11.9012	 13.5459	 15.8955	 19.2520	 24.0470	  0.1027	  0.1028	  0.1029	  0.1032	  0.1037	  0.1047	  0.1067	  0.1109	  0.1199	  0.1408	  0.1655	  0.1794	  0.1867	  0.1905	  0.1925	  0.1934	  0.1939	  0.1942	  0.1943	  0.1944	  0.3454	  0.3549	  0.3674	  0.3836	  0.4038	  0.4285	  0.4578	  0.4921	  0.5312	  0.5881	 19.4491	 19.4490	 19.4488	 19.4485	 19.4478	 19.4466	 19.4440	 19.4389	 19.4286	 19.4071	 19.3855	 19.3747	 19.3693	 19.3666	 19.3653	 19.3646	 19.3643	 19.3641	 19.3640	 19.3639	 19.1194	 19.1098	 19.0974	 19.0816	 19.0622	 19.0391	 19.0126	 18.9831	 18.9512	 18.9000	 12.0354	 12.0354	 12.0354	 12.0354	 12.0354	 12.0354	 12.0354	 12.0354	 12.0354	 12.0354	 12.0354	 12.0354	 12.0354	 12.0354	 12.0354	 12.0354	 12.0354	 12.0354	 12.0354	 12.0354	 12.0354	 12.0354	 12.0354	 12.0354	 12.0354	 12.0354	 12.0354	 12.0354	 12.0354	 12.0354	 -12.5076	  8.0636	 25.0152	  0.5000	  4.8751	  1.5298	  6.2538	  0.2002	  0.0196	   0.1500	    0.1500	  -0.3355	  0.2473	  0.2329	  1.0000
2018	179	   1	  0	178.0417	  0.0806	  0.0958	  0.1109	  0.1411	  0.2016	  0.3225	  0.5645	  1.0483	  2.0159	  4.0318	  6.0477	  7.0557	  7.5596	  7.8116	  7.9376	  8.0006	  8.0321	  8.0479	  8.0557	  8.0597	  8.7086	  8.9850	  9.3799	  9.9440	 10.7499	 11.9012	 13.5459	 15.8955	 19.2520	 24.0470	  0.1027	  0.1028	  0.1029	  0.1032	  0.1037	  0.1047	  0.1067	  0.1109	  0.1199	  0.1408	  0.1655	  0.1794	  0.1867	  0.1905	  0.1925	  0.1934	  0.1939	  0.1942	  0.1943	  0.1944	  0.3454	  0.3549	  0.3674	  0.3836	  0.4038	  0.4285	  0.4578	  0.4921	  0.5312	  0.5881	 19.2043	 19.2041	 19.2039	 19.2036	 19.2029	 19.2016	 19.1989	 19.1935	 19.1827	 19.1602	 19.1377	 19.1264	 19.1207	 19.1179	 19.1164	 19.1157	 19.1154	 19.1152	 19.1151	 19.1150	 18.8632	 18.8529	 18.8395	 18.8224	 18.8015	 18.7767	 18.7482	 18.7167	 18.6828	 18.6292	 11.6921	 11.6921	 11.6921	 11.6921	 11.6921	 11.6921	 11.6921	 11.6921	 11.6921	 11.6921	 11.6921	 11.6921	 11.6921	 11.6921	 11.6921	 11.6921	 11.6921	 11.6921	 11.6921	 11.6921	 11.6920	 11.6920	 11.6920	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 11.6919	 -12.5076	  8.0636	 25.0152	  0.5000	  4.8751	  1.5298	  6.2538	  0.2002	  0.0196	   0.1500	    0.1500	  -0.3514	  0.2473	  0.2329	  1.0000
2018	179	   2	  0	178.0833	  0.0806	  0.0958	  0.1109	  0.1411	  0.2016	  0.3225	  0.5645	  1.0483	  2.0159	  4.0318	  6.0477	  7.0557	  7.5596	  7.8116	  7.9376	  8.0006	  8.0321	  8.0479	  8.0557	  8.0597	  8.7086	  8.9850	  9.3799	  9.9440	 10.7499	 11.9012	 13.5459	 15.8955	 19.2520	 24.0470	  0.1027	  0.1028	  0.1029	  0.1032	  0.1037	  0.1047	  0.1067	  0.1109	  0.1199	  0.1408	  0.1655	  0.1794	  0.1867	  0.1905	  0.1925	  0.1934	  0.1939	  0.1942	  0.1943	  0.1944	  0.3454	  0.3549	  0.3674	  0.3836	  0.4038	  0.4285	  0.4578	  0.4921	  0.5312	  0.5881	 18.4698	 18.4696	 18.4694	 18.4691	 18.4685	 18.4672	 18.4646	 18.4593	 18.4489	 18.4271	 18.4052	 18.3943	 18.3888	 18.3861	 18.3847	 18.3840	 18.3836	 18.3835	 18.3834	 18.3833	 18.1368	 18.1270	 18.1143	 18.0981	 18.0781	 18.0544	 18.0272	 17.9970	 17.9645	 17.9125	 11.2688	 11.2688	 11.2688	 11.2688	 11.2688	 11.2688	 11.2687	 11.2687	 11.2686	 11.2685	 11.2684	 11.2683	 11.2683	 11.2682	 11.2682	 11.2682	 11.2682	 11.2682	 11.2682	 11.2682	 11.2666	 11.2666	 11.2665	 11.2664	 11.2662	 11.2661	 11.2659	 11.2657	 11.2655	 11.2652	 -12.5076	  8.0636	 25.0152	  0.5000	  4.8751	  1.5298	  6.2538	  0.2002	  0.0196	   0.1500	    0.1500	  -0.3405	  0.2473	  0.2329	  1.0000
2018	179	   3	  0	178.1250	  0.0806	  0.0958	  0.1109	  0.1411	  0.2016	  0.3225	  0.5645	  1.0483	  2.0159	  4.0318	  6.0477	  7.0557	  7.5596	  7.8116	  7.9376	  8.0006	  8.0321	  8.0479	  8.0557	  8.0597	  8.7086	  8.9850	  9.3799	  9.9440	 10.7499	 11.9012	 13.5459	 15.8955	 19.2520	 24.0470	  0.1027	  0.1028	  0.1029	  0.1032	  0.1037	  0.1047	  0.1067	  0.1109	  0.1199	  0.1408	  0.1655	  0.1794	  0.1867	  0.1905	  0.1925	  0.1934	  0.1939	  0.1942	  0.1943	  0.1944	  0.3454	  0.3549	  0.3674	  0.3836	  0.4038	  0.4285	  0.4578	  0.4921	  0.5312	  0.5881	 17.9806	 17.9805	 17.9803	 17.9800	 17.9794	 17.9781	 17.9756	 17.9706	 17.9606	 17.9397	 17.9187	 17.9082	 17.9029	 17.9003	 17.8990	 17.8983	 17.8980	 17.8978	 17.8977	 17.8977	 17.6579	 17.6487	 17.6368	 17.6216	 17.6029	 17.5806	 17.5550	 17.5265	 17.4957	 17.4458	 11.3991	 11.3991	 11.3991	 11.3990	 11.3990	 11.3990	 11.3988	 11.3986	 11.3981	 11.3971	 11.3961	 11.3956	 11.3953	 11.3952	 11.3951	 11.3951	 11.3951	 11.3951	 11.3951	 11.3951	 11.3834	 11.3830	 11.3824	 11.3817	 11.3808	 11.3797	 11.3785	 11.3771	 11.3756	 11.3732	 -12.5076	  8.0636	 25.0152	  0.5000	  4.8751	  1.5298	  6.2538	  0.2002	  0.0196	   0.1500	    0.1500	  -0.3267	  0.2473	  0.2329	  1.0000
2018	179	   4	  0	178.1667	  0.0806	  0.0958	  0.1109	  0.1411	  0.2016	  0.3225	  0.5645	  1.0483	  2.0159	  4.0318	  6.0477	  7.0557	  7.5596	  7.8116	  7.9376	  8.0006	  8.0321	  8.0479	  8.0557	  8.0597	  8.7086	  8.9850	  9.3799	  9.9440	 10.7499	 11.9012	 13.5459	 15.8955	 19.2520	 24.0470	  0.1092	  0.1093	  0.1095	  0.1097	  0.1103	  0.1113	  0.1135	  0.1180	  0.1275	  0.1498	  0.1760	  0.1907	  0.1986	  0.2026	  0.2047	  0.2057	  0.2062	  0.2065	  0.2066	  0.2067	  0.3673	  0.3774	  0.3907	  0.4079	  0.4294	  0.4556	  0.4869	  0.5233	  0.5649	  0.6254	 18.6073	 18.6071	 18.6069	 18.6066	 18.6058	 18.6042	 18.6011	 18.5949	 18.5824	 18.5564	 18.5302	 18.5172	 18.5106	 18.5073	 18.5057	 18.5049	 18.5045	 18.5043	 18.5041	 18.5040	 18.2328	 18.2193	 18.2018	 18.1796	 18.1527	 18.1209	 18.0849	 18.0455	 18.0038	 17.9417	 11.7782	 11.7782	 11.7781	 11.7781	 11.7780	 11.7778	 11.7774	 11.7767	 11.7751	 11.7719	 11.7687	 11.7671	 11.7663	 11.7659	 11.7657	 11.7656	 11.7656	 11.7655	 11.7655	 11.7655	 11.7323	 11.7306	 11.7285	 11.7257	 11.7224	 11.7185	 11.7141	 11.7092	 11.7041	 11.6965	 -12.5076	  8.0636	 25.0152	  0.5000	  4.8751	  1.5298	  6.2538	  0.2002	  0.0196	   0.1595	    0.1595	  -0.4067	  0.2473	  0.2329	  1.0000
2018	179	   5	  0	178.2083	  0.0806	  0.0958	  0.1109	  0.1411	  0.2016	  0.3225	  0.5645	  1.0483	  2.0159	  4.0318	  6.0477	  7.0557	  7.5596	  7.8116	  7.9376	  8.0006	  8.0321	  8.0479	  8.0557	  8.0597	  8.7086	  8.9850	  9.3799	  9.9440	 10.7499	 11.9012	 13.5459	 15.8955	 19.2520	 24.0470	  0.1061	  0.1062	  0.1064	  0.1066	  0.1071	  0.1082	  0.1103	  0.1147	  0.1239	  0.1455	  0.1710	  0.1853	  0.1930	  0.1969	  0.1989	  0.1999	  0.2004	  0.2006	  0.2008	  0.2009	  0.3569	  0.3668	  0.3797	  0.3964	  0.4173	  0.4428	  0.4731	  0.5086	  0.5489	  0.6078	 20.5013	 20.5010	 20.5007	 20.5001	 20.4990	 20.4966	 20.4918	 20.4823	 20.4632	 20.4234	 20.3835	 20.3634	 20.3534	 20.3484	 20.3459	 20.3446	 20.3440	 20.3437	 20.3435	 20.3434	 19.9785	 19.9540	 19.9222	 19.8825	 19.8344	 19.7784	 19.7159	 19.6485	 19.5783	 19.4833	 12.2753	 12.2753	 12.2752	 12.2751	 12.2749	 12.2745	 12.2737	 12.2721	 12.2689	 12.2622	 12.2554	 12.2521	 12.2504	 12.2495	 12.2491	 12.2489	 12.2488	 12.2487	 12.2487	 12.2487	 12.1873	 12.1832	 12.1778	 12.1711	 12.1630	 12.1535	 12.1429	 12.1316	 12.1197	 12.1037	 -12.5076	  8.0636	 25.0152	  0.5000	  4.8751	  1.5298	  6.2538	  0.2002	  0.0196	   0.1550	    0.1550	  -0.6220	  0.2473	  0.2329	  1.0000
2018	179	   6	  0	178.2500	  0.0806	  0.0958	  0.1109	  0.1411	  0.2016	  0.3225	  0.5645	  1.0483	  2.0159	  4.0318	  6.0477	  7.0557	  7.5596	  7.8116	  7.9376	  8.0006	  8.0321	  8.0479	  8.0557	  8.0597	  8.7086	  8.9850	  9.3799	  9.9440	 10.7499	 11.9012	 13.5459	 15.8955	 19.2520	 24.0470	  0.1421	  0.1423	  0.1424	  0.1428	  0.1435	  0.1449	  0.1477	  0.1535	  0.1659	  0.1949	  0.2290	  0.2482	  0.2584	  0.2636	  0.2663	  0.2677	  0.2683	  0.2687	  0.2688	  0.2690	  0.4779	  0.4911	  0.5084	  0.5307	  0.5587	  0.5929	  0.6335	  0.6810	  0.7350	  0.8138	 22.7958	 22.7955	 22.7951	 22.7944	 22.7931	 22.7904	 22.7850	 22.7743	 22.7527	 22.7078	 22.6626	 22.6400	 22.6287	 22.6230	 22.6202	 22.6188	 22.6181	 22.6177	 22.6175	 22.6174	 22.2367	 22.2065	 22.1675	 22.1188	 22.0602	 21.9924	 21.9169	 21.8363	 21.7531	 21.6458	 11.5457	 11.5457	 11.5456	 11.5455	 11.5454	 11.5450	 11.5444	 11.5430	 11.5403	 11.5347	 11.5290	 11.5262	 11.5248	 11.5241	 11.5237	 11.5236	 11.5235	 11.5234	 11.5234	 11.5234	 11.4757	 11.4719	 11.4671	 11.4610	 11.4536	 11.4451	 11.4357	 11.4256	 11.4152	 11.4018	 -12.5076	  8.0636	 25.0152	  0.5000	  4.8751	  1.5298	  6.2538	  0.2002	  0.0196	   0.2076	    0.2076	  -0.7026	  0.2473	  0.2329	  1.0000
2018	179	   7	  0	178.2917	  0.0806	  0.0958	  0.1109	  0.1411	  0.2016	  0.3225	  0.5645	  1.0483	  2.0159	  4.0318	  6.0477	  7.0557	  7.5596	  7.8116	  7.9376	  8.0006	  8.0321	  8.0479	  8.0557	  8.0597	  8.7086	  8.9850	  9.3799	  9.9440	 10.7499	 11.9012	 13.5459	 15.8955	 19.2520	 24.0470	  0.3026	  0.3030	  0.3034	  0.3041	  0.3056	  0.3086	  0.3146	  0.3270	  0.3533	  0.4151	  0.4877	  0.5286	  0.5503	  0.5615	  0.5672	  0.5701	  0.5715	  0.5722	  0.5726	  0.5730	  1.0179	  1.0460	  1.0829	  1.1304	  1.1901	  1.2628	  1.3493	  1.4504	  1.5656	  1.7333	 23.9386	 23.9384	 23.9382	 23.9378	 23.9370	 23.9353	 23.9321	 23.9256	 23.9125	 23.8852	 23.8579	 23.8442	 23.8373	 23.8339	 23.8322	 23.8313	 23.8309	 23.8307	 23.8306	 23.8305	 23.5252	 23.5127	 23.4964	 23.4758	 23.4504	 23.4204	 23.3859	 23.3477	 23.3067	 23.2417	 10.8906	 10.8906	 10.8906	 10.8906	 10.8905	 10.8904	 10.8901	 10.8896	 10.8886	 10.8865	 10.8844	 10.8834	 10.8829	 10.8826	 10.8825	 10.8824	 10.8824	 10.8824	 10.8824	 10.8823	 10.8590	 10.8580	 10.8567	 10.8552	 10.8532	 10.8509	 10.8482	 10.8453	 10.8422	 10.8372	 -12.5076	  8.0636	 25.0152	  0.5000	  4.8751	  1.5298	  6.2538	  0.2002	  0.0196	   0.4421	    0.4421	  -0.4258	  0.2473	  0.2329	  1.0000
2018	179	   8	  0	178.3333	  0.0806	  0.0958	  0.1109	  0.1411	  0.2016	  0.3225	  0.5645	  1.0483	  2.0159	  4.0318	  6.0477	  7.0557	  7.5596	  7.8116	  7.9376	  8.0006	  8.0321	  8.0479	  8.0557	  8.0597	  8.7086	  8.9850	  9.3799	  9.9440	 10.7499	 11.9012	 13.5459	 15.8955	 19.2520	 24.0470	  0.4593	  0.4598	  0.4604	  0.4615	  0.4638	  0.4683	  0.4774	  0.4962	  0.5361	  0.6299	  0.7401	  0.8022	  0.8352	  0.8522	  0.8608	  0.8651	  0.8673	  0.8684	  0.8690	  0.8695	  1.5518	  1.5945	  1.6507	  1.7230	  1.8137	  1.9245	  2.0562	  2.2101	  2.3856	  2.6417	 24.6489	 24.6488	 24.6486	 24.6483	 24.6476	 24.6463	 24.6436	 24.6383	 24.6277	 24.6055	 24.5832	 24.5721	 24.5665	 24.5637	 24.5623	 24.5616	 24.5613	 24.5611	 24.5610	 24.5609	 24.2354	 24.2310	 24.2250	 24.2169	 24.2064	 24.1931	 24.1764	 24.1562	 24.1324	 24.0792	 11.4444	 11.4444	 11.4444	 11.4444	 11.4443	 11.4442	 11.4441	 11.4437	 11.4429	 11.4413	 11.4397	 11.4389	 11.4385	 11.4383	 11.4382	 11.4382	 11.4382	 11.4381	 11.4381	 11.4381	 11.4148	 11.4145	 11.4141	 11.4135	 11.4128	 11.4118	 11.4106	 11.4091	 11.4074	 11.4036	 -12.6732	  8.0636	 25.0152	  0.5000	  4.8751	  1.5358	  6.2538	  0.2002	  0.0196	   0.6737	    0.6737	  -0.3466	  0.2473	  0.2329	  1.0000
2018	179	   9	  0	178.3750	  0.0806	  0.0958	  0.1109	  0.1411	  0.2016	  0.3225	  0.5645	  1.0483	  2.0159	  4.0318	  6.0477	  7.0557	  7.5596	  7.8116	  7.9376	  8.0006	  8.0321	  8.0479	  8.0557	  8.0597	  8.7086	  8.9850	  9.3799	  9.9440	 10.7499	 11.9012	 13.5459	 15.8955	 19.2520	 24.0470	  0.5111	  0.5117	  0.5123	  0.5136	  0.5160	  0.5211	  0.5312	  0.5522	  0.5966	  0.7009	  0.8235	  0.8926	  0.9293	  0.9483	  0.9579	  0.9627	  0.9651	  0.9663	  0.9669	  0.9675	  1.7255	  1.7730	  1.8355	  1.9159	  2.0169	  2.1400	  2.2865	  2.4577	  2.6528	  2.9375	 25.4279	 25.4277	 25.4276	 25.4272	 25.4265	 25.4251	 25.4224	 25.4168	 25.4057	 25.3826	 25.3593	 25.3477	 25.3419	 25.3389	 25.3375	 25.3368	 25.3364	 25.3362	 25.3361	 25.3360	 24.9799	 24.9765	 24.9718	 24.9653	 24.9566	 24.9450	 24.9302	 24.9115	 24.8889	 24.8333	 11.1314	 11.1313	 11.1313	 11.1313	 11.1313	 11.1312	 11.1310	 11.1306	 11.1299	 11.1284	 11.1269	 11.1261	 11.1257	 11.1255	 11.1254	 11.1254	 11.1254	 11.1254	 11.1253	 11.1253	 11.1020	 11.1018	 11.1015	 11.1011	 11.1005	 11.0997	 11.0988	 11.0975	 11.0961	 11.0924	 -12.6606	  8.0636	 25.0152	  0.5000	  4.8751	  1.5354	  6.2538	  0.2002	  0.0196	   0.7492	    0.7492	  -0.3618	  0.2473	  0.2329	  1.0000
2018	179	  10	  0	178.4167	  0.0806	  0.0958	  0.1109	  0.1411	  0.2016	  0.3225	  0.5645	  1.0483	  2.0159	  4.0318	  6.0477	  7.0557	  7.5596	  7.8116	  7.9376	  8.0006	  8.0321	  8.0479	  8.0557	  8.0597	  8.7086	  8.9850	  9.3799	  9.9440	 10.7499	 11.9012	 13.5459	 15.8955	 19.2520	 24.0470	  0.5583	  0.5590	  0.5597	  0.5610	  0.5638	  0.5692	  0.5804	  0.6032	  0.6518	  0.7658	  0.8997	  0.9752	  1.0153	  1.0359	  1.0464	  1.0517	  1.0544	  1.0557	  1.0564	  1.0570	  2.0344	  2.0888	  2.1604	  2.2528	  2.3688	  2.5107	  2.6799	  2.8786	  3.1061	  3.4500	 26.2395	 26.2393	 26.2392	 26.2388	 26.2382	 26.2369	 26.2342	 26.2290	 26.2185	 26.1965	 26.1745	 26.1634	 26.1579	 26.1551	 26.1538	 26.1531	 26.1527	 26.1525	 26.1525	 26.1524	 25.7716	 25.7691	 25.7656	 25.7605	 25.7534	 25.7435	 25.7302	 25.7129	 25.6912	 25.6333	  9.6099	  9.6099	  9.6099	  9.6099	  9.6099	  9.6098	  9.6096	  9.6093	  9.6087	  9.6073	  9.6060	  9.6053	  9.6050	  9.6048	  9.6047	  9.6047	  9.6046	  9.6046	  9.6046	  9.6046	  9.5814	  9.5812	  9.5810	  9.5807	  9.5802	  9.5796	  9.5788	  9.5778	  9.5764	  9.5729	 -16.0555	  8.0636	 25.0152	  0.5000	  4.8751	  1.6406	  6.2538	  0.2018	  0.0198	   0.8788	    0.8788	  -0.3406	  0.2473	  0.2329	  1.0000
2018	179	  11	  0	178.4583	  0.0806	  0.0958	  0.1109	  0.1411	  0.2016	  0.3225	  0.5645	  1.0483	  2.0159	  4.0318	  6.0477	  7.0557	  7.5596	  7.8116	  7.9376	  8.0006	  8.0321	  8.0479	  8.0557	  8.0597	  8.7086	  8.9850	  9.3799	  9.9440	 10.7499	 11.9012	 13.5459	 15.8955	 19.2520	 24.0470	  0.6006	  0.6013	  0.6021	  0.6035	  0.6064	  0.6123	  0.6243	  0.6489	  0.7011	  0.8237	  0.9678	  1.0490	  1.0921	  1.1144	  1.1256	  1.1313	  1.1342	  1.1356	  1.1363	  1.1370	  2.7231	  2.7915	  2.8819	  2.9988	  3.1462	  3.3276	  3.5455	  3.8042	  4.1038	  4.5958	 26.7653	 26.7652	 26.7650	 26.7648	 26.7642	 26.7631	 26.7608	 26.7563	 26.7473	 26.7284	 26.7095	 26.7000	 26.6953	 26.6929	 26.6917	 26.6911	 26.6908	 26.6907	 26.6906	 26.6905	 26.2953	 26.2937	 26.2911	 26.2872	 26.2814	 26.2728	 26.2608	 26.2444	 26.2231	 26.1625	  8.3223	  8.3223	  8.3223	  8.3222	  8.3222	  8.3221	  8.3220	  8.3217	  8.3212	  8.3201	  8.3190	  8.3184	  8.3181	  8.3180	  8.3179	  8.3179	  8.3179	  8.3178	  8.3178	  8.3178	  8.2944	  8.2943	  8.2942	  8.2939	  8.2936	  8.2931	  8.2924	  8.2914	  8.2901	  8.2866	 -29.1743	  8.0636	 25.0152	  0.5000	  4.8751	  1.9346	  6.2538	  0.2196	  0.0215	   1.1607	    1.1607	  -0.2693	  0.2473	  0.2329	  1.0000
2018	179	  12	  0	178.5000	  0.0806	  0.0958	  0.1109	  0.1411	  0.2016	  0.3225	  0.5645	  1.0483	  2.0159	  4.0318	  6.0477	  7.0557	  7.5596	  7.8116	  7.9376	  8.0006	  8.0321	  8.0479	  8.0557	  8.0597	  8.7086	  8.9850	  9.3799	  9.9440	 10.7499	 11.9012	 13.5459	 15.8955	 19.2520	 24.0470	  0.6003	  0.6010	  0.6017	  0.6032	  0.6061	  0.6120	  0.6239	  0.6485	  0.7007	  0.8233	  0.9672	  1.0484	  1.0915	  1.1137	  1.1250	  1.1307	  1.1335	  1.1350	  1.1357	  1.1364	  2.6687	  2.7360	  2.8249	  2.9399	  3.0849	  3.2632	  3.4772	  3.7311	  4.0248	  4.5042	 26.7445	 26.7444	 26.7443	 26.7440	 26.7434	 26.7423	 26.7400	 26.7354	 26.7263	 26.7072	 26.6880	 26.6784	 26.6736	 26.6712	 26.6699	 26.6693	 26.6690	 26.6689	 26.6688	 26.6687	 26.2711	 26.2694	 26.2668	 26.2628	 26.2569	 26.2483	 26.2362	 26.2197	 26.1983	 26.1375	  7.4825	  7.4825	  7.4825	  7.4825	  7.4825	  7.4824	  7.4823	  7.4820	  7.4814	  7.4803	  7.4791	  7.4785	  7.4783	  7.4781	  7.4780	  7.4780	  7.4780	  7.4780	  7.4780	  7.4780	  7.4541	  7.4539	  7.4538	  7.4536	  7.4532	  7.4527	  7.4520	  7.4510	  7.4497	  7.4460	 -27.7791	  8.0636	 25.0152	  0.5000	  4.8751	  1.9104	  6.2538	  0.2168	  0.0212	   1.1388	    1.1388	  -0.2764	  0.2473	  0.2329	  1.0000
2018	179	  13	  0	178.5417	  0.0806	  0.0958	  0.1109	  0.1411	  0.2016	  0.3225	  0.5645	  1.0483	  2.0159	  4.0318	  6.0477	  7.0557	  7.5596	  7.8116	  7.9376	  8.0006	  8.0321	  8.0479	  8.0557	  8.0597	  8.7086	  8.9850	  9.3799	  9.9440	 10.7499	 11.9012	 13.5459	 15.8955	 19.2520	 24.0470	  0.5958	  0.5965	  0.5972	  0.5987	  0.6016	  0.6074	  0.6193	  0.6437	  0.6955	  0.8171	  0.9600	  1.0406	  1.0834	  1.1054	  1.1166	  1.1222	  1.1251	  1.1265	  1.1272	  1.1279	  2.7864	  2.8560	  2.9480	  3.0670	  3.2173	  3.4023	  3.6247	  3.8891	  4.1958	  4.7042	 26.7518	 26.7517	 26.7515	 26.7513	 26.7507	 26.7496	 26.7474	 26.7430	 26.7342	 26.7158	 26.6974	 26.6881	 26.6835	 26.6812	 26.6800	 26.6794	 26.6791	 26.6790	 26.6789	 26.6788	 26.2929	 26.2913	 26.2888	 26.2849	 26.2792	 26.2708	 26.2590	 26.2429	 26.2220	 26.1625	  6.7731	  6.7731	  6.7730	  6.7730	  6.7730	  6.7729	  6.7728	  6.7725	  6.7720	  6.7708	  6.7697	  6.7691	  6.7688	  6.7687	  6.7686	  6.7686	  6.7686	  6.7686	  6.7686	  6.7686	  6.7447	  6.7446	  6.7445	  6.7442	  6.7439	  6.7434	  6.7426	  6.7416	  6.7403	  6.7367	 -31.5932	  8.0636	 25.0152	  0.5000	  4.8751	  1.9693	  6.2538	  0.2254	  0.0221	   1.1856	    1.1856	  -0.2568	  0.2473	  0.2329	  1.0000
2018	179	  14	  0	178.5833	  0.0806	  0.0958	  0.1109	  0.1411	  0.2016	  0.3225	  0.5645	  1.0483	  2.0159	  4.0318	  6.0477	  7.0557	  7.5596	  7.8116	  7.9376	  8.0006	  8.0321	  8.0479	  8.0557	  8.0597	  8.7086	  8.9850	  9.3799	  9.9440	 10.7499	 11.9012	 13.5459	 15.8955	 19.2520	 24.0470	  0.5850	  0.5857	  0.5864	  0.5878	  0.5907	  0.5964	  0.6080	  0.6320	  0.6829	  0.8023	  0.9426	  1.0217	  1.0637	  1.0854	  1.0964	  1.1019	  1.1047	  1.1061	  1.1068	  1.1075	  2.9772	  3.0504	  3.1474	  3.2729	  3.4317	  3.6275	  3.8635	  4.1450	  4.4726	  5.0292	 26.8012	 26.8011	 26.8009	 26.8007	 26.8002	 26.7992	 26.7971	 26.7930	 26.7848	 26.7677	 26.7505	 26.7418	 26.7375	 26.7353	 26.7343	 26.7337	 26.7335	 26.7333	 26.7333	 26.7332	 26.3702	 26.3686	 26.3662	 26.3626	 26.3572	 26.3493	 26.3381	 26.3227	 26.3027	 26.2458	  7.4315	  7.4315	  7.4315	  7.4314	  7.4314	  7.4313	  7.4312	  7.4310	  7.4305	  7.4294	  7.4283	  7.4278	  7.4275	  7.4274	  7.4273	  7.4273	  7.4273	  7.4273	  7.4273	  7.4272	  7.4047	  7.4046	  7.4044	  7.4042	  7.4039	  7.4034	  7.4027	  7.4017	  7.4005	  7.3970	 -38.3799	  8.0636	 25.0152	  0.5000	  4.8751	  2.0710	  6.2538	  0.2412	  0.0236	   1.2612	    1.2612	  -0.2225	  0.2473	  0.2329	  1.0000
2018	179	  15	  0	178.6250	  0.0806	  0.0958	  0.1109	  0.1411	  0.2016	  0.3225	  0.5645	  1.0483	  2.0159	  4.0318	  6.0477	  7.0557	  7.5596	  7.8116	  7.9376	  8.0006	  8.0321	  8.0479	  8.0557	  8.0597	  8.7086	  8.9850	  9.3799	  9.9440	 10.7499	 11.9012	 13.5459	 15.8955	 19.2520	 24.0470	  0.5469	  0.5476	  0.5483	  0.5496	  0.5523	  0.5576	  0.5685	  0.5909	  0.6385	  0.7501	  0.8813	  0.9553	  0.9946	  1.0148	  1.0251	  1.0303	  1.0329	  1.0342	  1.0348	  1.0355	  2.5233	  2.5865	  2.6699	  2.7779	  2.9141	  3.0818	  3.2833	  3.5227	  3.8001	  4.2583	 26.5874	 26.5873	 26.5872	 26.5870	 26.5865	 26.5856	 26.5837	 26.5801	 26.5727	 26.5573	 26.5418	 26.5341	 26.5302	 26.5283	 26.5273	 26.5268	 26.5266	 26.5264	 26.5264	 26.5263	 26.2010	 26.1996	 26.1976	 26.1944	 26.1896	 26.1826	 26.1727	 26.1592	 26.1417	 26.0917	  8.1351	  8.1351	  8.1351	  8.1351	  8.1350	  8.1350	  8.1349	  8.1346	  8.1341	  8.1331	  8.1321	  8.1316	  8.1313	  8.1312	  8.1311	  8.1311	  8.1311	  8.1311	  8.1311	  8.1311	  8.1095	  8.1094	  8.1092	  8.1090	  8.1087	  8.1082	  8.1076	  8.1067	  8.1055	  8.1022	 -30.3831	  8.0636	 25.0152	  0.5000	  4.8751	  1.9565	  6.2538	  0.2219	  0.0217	   1.0745	    1.0745	  -0.2173	  0.2473	  0.2329	  1.0000
